tr,country,name,germany,Q2a,Q3a,eu1,eu2,eu3,eu4,imm1,imm2,imm3,imm4,imm5,imm6,ref1,male,age,edu,income,unemployed,lrscale,eu_best,eu_worst
0,0,United Kingdom,,1,2,0,1,0,0.75,0,0,0,0,0,0,0.25,1,59,0,4,0,5,"Peace on the 
 European continent",Loss of national sovereignty
0,0,United Kingdom,,14,3,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,46,2,2,0,5,,Mass immigration
0,0,United Kingdom,,14,2,0,0,0.5,0.75,0.5,0.75,0.75,0.5,0.75,0.25,0.25,1,61,7,4,0,5,,Loss of national sovereignty
0,0,United Kingdom,,14,8,0,0,0.5,0.75,0.5,0.75,0.75,0.75,0.75,1,0.5,0,56,3,3,0,5,,"Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,14,3,0,0,0,0,0,0,0,0,0,0,0,1,55,6,2,0,3,,Mass immigration
0,0,United Kingdom,,11,7,0,0,0,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0,44,7,3,0,3,Protection of workers' rights,Removing borders between states
0,0,United Kingdom,,14,4,0,0,0,0,0.25,0.75,0.5,0.5,0.75,0.25,0.5,0,39,3,4,0,7,,Economic austerity
0,0,United Kingdom,,11,8,0,0,0.25,0.75,0.75,0.5,0.75,0.5,0.5,0.25,0.5,0,62,3,5,0,4,Protection of workers' rights,"Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,11,3,0,0,0,0,0,0,0.75,0,0,0,0,1,68,2,5,0,8,Protection of workers' rights,Mass immigration
0,0,United Kingdom,,14,3,0,0,0,0,0,0,0,0,0,0,0,1,59,4,8,0,1,,Mass immigration
0,0,United Kingdom,,6,3,0,0,0.25,0.75,0.75,0.75,0.5,0.25,0,0,0.25,1,38,3,6,0,3,Influence of Europe in the world,Mass immigration
0,0,United Kingdom,,1,6,0,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.75,0,70,6,4,0,7,"Peace on the 
 European continent",The refugee crisis
0,0,United Kingdom,,4,3,1,0.25,1,1,1,0.75,1,1,0.5,0.75,1,0,83,2,3,0,10,"Freedom to live and 
 work across the EU",Mass immigration
0,0,United Kingdom,,1,8,0,0.25,0.25,0.5,0.75,0.75,0.75,0.5,0.25,0.5,0.5,0,66,3,3,0,5,"Peace on the 
 European continent","Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,4,2,0,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0,68,3,1,0,5,"Freedom to live and 
 work across the EU",Loss of national sovereignty
0,0,United Kingdom,,12,5,0,0,0,0.25,0.75,0.25,0.75,0.25,0.75,0,0.5,0,65,2,2,0,6,Higher standards for consumers,The Euro single currency
0,0,United Kingdom,,4,3,0.5,0.5,0.5,1,1,0.5,0.5,0,0.5,0,0.5,1,43,3,7,0,10,"Freedom to live and 
 work across the EU",Mass immigration
0,0,United Kingdom,,14,1,0,0,0,0,0.5,0.25,0.5,0.25,0.25,0,0.5,1,58,3,5,0,6,,Unemployment
0,0,United Kingdom,,1,4,0,0.25,0.5,0.5,0.75,0.75,0.5,0.5,0.25,0.5,0.75,0,48,6,5,0,5,"Peace on the 
 European continent",Economic austerity
0,0,United Kingdom,,11,3,0,0.25,0,0.5,0.75,0.5,0.75,0.75,0.75,0,1,0,44,5,4,0,2,Protection of workers' rights,Mass immigration
0,0,United Kingdom,,1,8,0.5,0,0.25,0.25,0,0.25,0.5,0.25,0.25,0,0,0,66,3,5,0,8,"Peace on the 
 European continent","Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,4,5,0,0.25,0.5,0.75,0.75,0.5,0.75,0.5,0.75,0.25,0.5,1,47,3,3,1,6,"Freedom to live and 
 work across the EU",The Euro single currency
0,0,United Kingdom,,4,2,0,0,0.25,0.25,0.75,0.75,0.75,0.5,0.25,0.75,0.5,0,38,7,4,0,5,"Freedom to live and 
 work across the EU",Loss of national sovereignty
0,0,United Kingdom,,3,5,0,0,0.25,0.5,0.75,0.25,0.75,0.25,0.5,0.5,0.25,1,86,3,3,0,9,The EU single market,The Euro single currency
0,0,United Kingdom,,14,3,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0,31,3,7,0,5,,Mass immigration
0,0,United Kingdom,,1,12,0.5,0.5,0.75,0.75,1,1,1,1,0.75,1,0.75,1,52,7,2,0,3,"Peace on the 
 European continent",None
0,0,United Kingdom,,14,2,0,0,0,0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.25,1,74,2,4,0,7,,Loss of national sovereignty
0,0,United Kingdom,,1,5,0.5,0.75,0.5,0.75,0.5,0.25,0.5,0.5,0.25,0.5,0.75,1,24,,4,1,7,"Peace on the 
 European continent",The Euro single currency
0,0,United Kingdom,,14,3,0,0,0,0,0.25,0,0,0,0,0,0,1,66,6,4,0,10,,Mass immigration
0,0,United Kingdom,,14,3,0,0,0,0.75,0,0.25,0.25,0.25,0.25,0.25,0.25,1,33,2,5,0,10,,Mass immigration
0,0,United Kingdom,,3,5,0,0.5,0,0.75,0.25,0.25,0.25,0,0.25,0,0.25,1,44,2,3,0,7,The EU single market,The Euro single currency
0,0,United Kingdom,,3,1,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0,1,46,3,2,1,5,The EU single market,Unemployment
0,0,United Kingdom,,14,12,0,0,0.5,0.5,0,0,0,0,,0,0,1,67,2,4,0,5,,None
0,0,United Kingdom,,14,9,0,0,0,0.5,0.25,0.5,0.25,0,0.25,0,0.5,1,55,6,5,0,5,,Lack of democracy
0,0,United Kingdom,,1,5,0,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,1,70,3,1,0,5,"Peace on the 
 European continent",The Euro single currency
0,0,United Kingdom,,11,8,0,0,0.5,0.75,0.5,0.25,0.5,0.75,1,0.75,0.5,1,54,3,2,0,2,Protection of workers' rights,"Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,14,3,0.5,0.5,0.5,0.5,0,0,0,0.25,0.5,0.25,0.5,0,32,2,3,1,5,,Mass immigration
0,0,United Kingdom,,1,3,0,0.25,0.25,0.25,0.75,0.5,0.75,0.25,0.5,0.25,0.25,1,74,2,3,0,5,"Peace on the 
 European continent",Mass immigration
0,0,United Kingdom,,11,9,0.5,0,1,1,1,1,1,1,1,1,0.5,1,57,6,1,0,0,Protection of workers' rights,Lack of democracy
0,0,United Kingdom,,14,3,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,52,3,4,0,5,,Mass immigration
0,0,United Kingdom,,14,3,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,50,3,4,0,6,,Mass immigration
0,0,United Kingdom,,14,12,1,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.75,0.5,0.75,1,39,5,5,0,4,,None
0,0,United Kingdom,,8,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,42,7,8,0,5,A European identity,Unemployment
0,0,United Kingdom,,2,5,0,0,0,0.5,0.75,0.5,0.75,0.75,0.75,0.75,0.75,1,34,7,5,0,5,Protection of the environment,The Euro single currency
0,0,United Kingdom,,3,3,0.5,0,0,0,0.25,0,0,0,0,0,0,0,45,3,7,0,8,The EU single market,Mass immigration
0,0,United Kingdom,,14,3,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0,29,3,4,1,5,,Mass immigration
0,0,United Kingdom,,14,3,0,0,0,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0.5,1,64,2,5,0,4,,Mass immigration
0,0,United Kingdom,,4,2,0,0,0,0,0.5,0.25,0,0.25,0.5,0,0,1,55,3,5,0,5,"Freedom to live and 
 work across the EU",Loss of national sovereignty
0,0,United Kingdom,,14,8,0,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0,52,2,3,0,5,,"Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,3,8,0,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0.5,0,46,2,2,0,5,The EU single market,"Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,9,6,1,0.75,0.25,0.75,0.75,0.25,0.75,0.25,0.25,0.25,0.75,0,21,6,3,0,0,Democratic values,The refugee crisis
0,0,United Kingdom,,14,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,33,7,5,0,6,,None
0,0,United Kingdom,,1,12,0.5,0.25,0.5,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,36,3,5,0,2,"Peace on the 
 European continent",None
0,0,United Kingdom,,1,8,0.5,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1,39,2,4,0,5,"Peace on the 
 European continent","Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,6,3,0.5,0.5,0.25,0.5,0.75,0.5,0.75,0,0,0,0.5,0,55,6,4,0,7,Influence of Europe in the world,Mass immigration
0,0,United Kingdom,,14,3,0,0.5,0,0.5,0.25,0.25,0.5,0.5,0.25,0,0.25,0,50,2,2,0,5,,Mass immigration
0,0,United Kingdom,,1,2,0,0,0,0.5,0.25,0.5,0.25,0.25,0,0,0,1,54,2,3,0,5,"Peace on the 
 European continent",Loss of national sovereignty
0,0,United Kingdom,,1,8,0.5,0.25,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.75,0,70,6,4,0,2,"Peace on the 
 European continent","Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,10,8,0,0.5,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.5,1,46,6,5,0,6,Support for deprived regions,"Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,1,9,0.5,0.25,0.25,0.5,0.75,1,0.75,0.75,0.75,0.75,1,1,44,3,3,0,3,"Peace on the 
 European continent",Lack of democracy
0,0,United Kingdom,,11,2,0,0,0.5,0.75,0.75,0.5,1,0.5,0.25,0.25,0.5,1,48,3,5,0,5,Protection of workers' rights,Loss of national sovereignty
0,0,United Kingdom,,3,7,0,0.5,0.75,0.75,0.5,0.5,0.75,0.25,0.25,0,0.25,1,54,4,3,0,5,The EU single market,Removing borders between states
0,0,United Kingdom,,1,7,0,0,0,0.5,0.25,0.25,0.25,0.5,0.25,0,0,1,75,6,5,0,5,"Peace on the 
 European continent",Removing borders between states
0,0,United Kingdom,,4,8,1,0,0.25,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0,37,7,3,0,5,"Freedom to live and 
 work across the EU","Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,14,6,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,22,2,4,0,5,,The refugee crisis
0,0,United Kingdom,,11,2,0,0,0,0,0.5,0.75,0.75,0.25,0.25,0.25,0.5,0,50,6,5,0,7,Protection of workers' rights,Loss of national sovereignty
0,0,United Kingdom,,1,2,0,0,0.5,0.75,0.75,0.5,0.75,0.5,0.25,0.25,0.5,1,72,2,4,0,8,"Peace on the 
 European continent",Loss of national sovereignty
0,0,United Kingdom,,4,5,0,0,0.75,0.5,0.5,0.25,0.5,0.5,0.25,0.25,0.5,1,43,5,6,0,5,"Freedom to live and 
 work across the EU",The Euro single currency
0,0,United Kingdom,,4,10,0,1,0,0.5,1,1,1,1,1,0,0.5,1,47,7,5,0,5,"Freedom to live and 
 work across the EU",Enlargement to other countries
0,0,United Kingdom,,12,6,0.5,0.25,0.75,0.5,0.25,0.75,0.5,0.5,0.5,0.75,0.75,1,41,3,1,0,6,Higher standards for consumers,The refugee crisis
0,0,United Kingdom,,12,9,0,0,0,0.25,0.5,0,0.75,0.25,0.5,0.75,0,1,38,8,3,0,6,Higher standards for consumers,Lack of democracy
0,0,United Kingdom,,1,2,0,0.25,0.25,0.5,0.25,0,0.75,0.5,0.5,0,0.25,1,33,2,2,0,5,"Peace on the 
 European continent",Loss of national sovereignty
0,0,United Kingdom,,14,6,0,0.5,0,0,1,0,0,0,0,0,0,1,22,3,4,0,5,,The refugee crisis
0,0,United Kingdom,,4,10,0,0.25,0.25,0.25,0.5,0,0.5,0.25,0.25,0,0.25,0,48,3,6,0,8,"Freedom to live and 
 work across the EU",Enlargement to other countries
0,1,Austria,0,1,8,1,1,0.5,0.75,0.5,0.75,0.75,0.25,0.5,0.25,0.75,1,24,8,4,0,3,"Peace on the 
 European continent","Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,1,1,0.5,0.5,0.75,0.5,0,0.25,0,0.25,0,0,0,0,20,7,1,0,5,"Peace on the 
 European continent",Unemployment
0,0,United Kingdom,,1,8,0,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,1,55,2,5,0,4,"Peace on the 
 European continent","Bureaucracy and 
 excessive regulation"
0,1,Austria,0,1,8,0,0,0.25,0.5,0.5,0.75,0.75,0.75,0.5,0.25,0.5,1,31,7,4,0,2,"Peace on the 
 European continent","Bureaucracy and 
 excessive regulation"
0,1,Austria,0,1,6,0,0.5,0.25,0.25,0.5,0.25,0.25,0,0,0,0.5,0,41,7,3,0,6,"Peace on the 
 European continent",The refugee crisis
0,1,Austria,0,4,8,0,0,0.25,0,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0,46,3,5,0,5,"Freedom to live and 
 work across the EU","Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,4,8,0,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,1,39,4,4,0,5,"Freedom to live and 
 work across the EU","Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,1,6,0.5,0.25,0.25,0.5,1,1,0.5,1,0,1,0,1,34,7,5,0,5,"Peace on the 
 European continent",The refugee crisis
0,1,Austria,0,7,8,0,0,0.75,0,0.5,0.75,0.75,0.75,0.5,0.25,0.5,1,53,3,7,0,5,The Euro currency,"Bureaucracy and 
 excessive regulation"
0,1,Austria,0,10,6,0.5,0.75,0.25,0.5,0.75,0.75,0.75,0.5,0,0,0.5,1,55,5,4,0,7,Support for deprived regions,The refugee crisis
0,0,United Kingdom,,14,4,0,0.5,0.5,0.5,0.25,0.25,0.5,0.25,0,0.25,0.5,0,77,2,1,0,5,,Economic austerity
0,0,United Kingdom,,11,8,0,0,0.25,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.5,1,43,7,4,0,4,Protection of workers' rights,"Bureaucracy and 
 excessive regulation"
0,1,Austria,0,4,8,1,0,0.75,1,0.75,0.75,0.25,0.25,0,0.25,0.5,1,41,5,4,0,6,"Freedom to live and 
 work across the EU","Bureaucracy and 
 excessive regulation"
0,1,Austria,0,7,7,0,0.5,0,0.75,0,0,0,0,0,0,0,1,37,5,3,0,10,The Euro currency,Removing borders between states
0,0,United Kingdom,,14,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,20,3,3,0,5,,None
0,0,United Kingdom,,11,6,0,0,0.25,0.5,1,1,1,1,1,0.75,1,0,69,5,4,0,4,Protection of workers' rights,The refugee crisis
0,1,Austria,0,14,6,0,0,0,0,0.75,0.5,0.5,0,0,0,0.25,1,22,4,6,0,7,,The refugee crisis
0,0,United Kingdom,,11,3,0,0,0,0.5,0.5,0,0.5,0.25,0.5,0,0,1,48,2,4,1,3,Protection of workers' rights,Mass immigration
0,0,United Kingdom,,3,3,0,0,0,0,1,0,1,0,0,0,0,1,37,6,8,0,5,The EU single market,Mass immigration
0,0,United Kingdom,,3,8,0,0.25,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.75,1,63,3,3,0,3,The EU single market,"Bureaucracy and 
 excessive regulation"
0,1,Austria,0,7,10,0,0.5,0,0.25,0.75,1,1,0.75,0.5,0.75,1,1,57,4,5,0,5,The Euro currency,Enlargement to other countries
0,1,Poland,0,12,8,0,0.5,0.5,0.25,0,0,0.25,0,0,0,0,1,33,4,3,0,5,Higher standards for consumers,"Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,3,2,0.5,0,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.25,1,63,3,3,0,5,The EU single market,Loss of national sovereignty
0,1,Poland,0,4,3,0,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,1,32,3,3,0,7,"Freedom to live and 
 work across the EU",Mass immigration
0,0,United Kingdom,,3,8,0.5,0,0,0.75,0.75,0.75,0.75,0.25,0.75,0,0.25,1,39,3,5,0,5,The EU single market,"Bureaucracy and 
 excessive regulation"
0,1,Austria,0,2,5,0,0,0.25,0.5,0.5,0.5,0.25,0,0.25,0.25,0.25,1,54,4,3,0,5,Protection of the environment,The Euro single currency
0,1,Poland,0,3,6,1,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0,0.5,0.75,1,40,4,3,0,9,The EU single market,The refugee crisis
0,1,Poland,0,10,2,0.5,0.25,0.5,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.5,1,41,7,4,0,7,Support for deprived regions,Loss of national sovereignty
0,1,Austria,0,4,1,0,0,0.75,0.75,1,1,0.75,0.5,0.75,0.75,0.75,1,50,4,3,1,9,"Freedom to live and 
 work across the EU",Unemployment
0,1,Austria,0,1,8,0,0.5,0.25,0,0.5,1,0.5,0.5,0.25,0.5,0.5,0,62,8,6,0,4,"Peace on the 
 European continent","Bureaucracy and 
 excessive regulation"
0,1,Hungary,0,4,6,0.5,0,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.25,0.5,1,49,6,3,0,5,"Freedom to live and 
 work across the EU",The refugee crisis
0,1,Austria,0,3,6,0,0,0.75,0,0,0.75,0.25,0.25,0,0.25,0,1,43,3,4,0,3,The EU single market,The refugee crisis
0,1,Poland,0,10,6,0,0,0.75,1,0,0,0,0,0,0,0,0,33,7,2,0,4,Support for deprived regions,The refugee crisis
0,1,Austria,0,3,6,0.5,0.25,0.75,0.75,1,1,0.75,0.75,0.25,0.75,0.75,0,31,7,4,0,2,The EU single market,The refugee crisis
0,1,Austria,0,1,8,0,0.25,0.25,0.5,0.75,0.75,0.75,0.25,0.25,0.5,0.75,1,66,5,,0,5,"Peace on the 
 European continent","Bureaucracy and 
 excessive regulation"
0,1,Poland,0,10,6,0,0,0.75,0.75,0.25,0.75,0.5,0.75,0,0,0.75,1,25,3,2,0,8,Support for deprived regions,The refugee crisis
0,1,Poland,0,4,8,0,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,45,7,3,0,6,"Freedom to live and 
 work across the EU","Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,4,4,0.5,0.25,0.5,0.75,0.75,1,0.75,0.75,0.5,0.5,0.5,0,49,3,5,0,3,"Freedom to live and 
 work across the EU",Economic austerity
0,0,United Kingdom,,4,8,0,0,0.75,0.75,0.75,1,0.75,0.75,0,0.5,0.25,1,49,3,3,0,3,"Freedom to live and 
 work across the EU","Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,3,5,0.5,0.75,0,0.25,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0,72,5,5,0,8,The EU single market,The Euro single currency
0,0,United Kingdom,,14,7,0,0,0,0,0,0,0,0,0,0,0,1,58,2,5,0,8,,Removing borders between states
0,1,Austria,0,4,6,0.5,1,0,1,1,0,1,0,0,0,0,0,23,4,3,0,10,"Freedom to live and 
 work across the EU",The refugee crisis
0,0,United Kingdom,,1,3,0,0.75,0.75,1,0.25,0,0.5,0.25,0.25,0.25,0.5,1,52,7,1,0,5,"Peace on the 
 European continent",Mass immigration
0,1,Austria,0,1,3,0,1,0.25,0.5,0.25,0.25,0,0,0,0,0.75,1,50,4,4,0,3,"Peace on the 
 European continent",Mass immigration
0,0,United Kingdom,,14,2,0,0,0,0,0.25,0.5,0,0,0,0,0.25,1,54,6,6,0,8,,Loss of national sovereignty
0,1,Poland,0,14,8,0,0,0.5,0.75,0.25,0.25,0.25,0.25,0.75,0.25,0,0,30,7,2,0,5,,"Bureaucracy and 
 excessive regulation"
0,1,Hungary,0,5,8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,1,58,6,8,0,9,"Removing borders 
 between states","Bureaucracy and 
 excessive regulation"
0,1,Poland,0,8,1,0.5,0.25,0.75,0.75,0.25,0,0.25,0,0.25,0.25,0.75,1,34,3,2,1,7,A European identity,Unemployment
0,0,United Kingdom,,1,4,0.5,0.5,0.5,0.5,1,1,0.75,1,0.5,1,0.75,0,53,3,1,0,5,"Peace on the 
 European continent",Economic austerity
0,0,United Kingdom,,3,5,0.5,0.75,0.75,1,0.75,0,0.25,0.75,0.75,0.75,0.75,1,52,2,1,0,7,The EU single market,The Euro single currency
0,0,United Kingdom,,1,5,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,1,68,7,5,0,7,"Peace on the 
 European continent",The Euro single currency
0,1,Poland,0,7,3,0,0,1,0,0,0,0,0,0,0,0,1,40,4,3,0,5,The Euro currency,Mass immigration
0,1,Poland,0,4,8,0,0.5,0.75,0.75,0.25,0.75,0,0.75,0,0.25,0.5,1,34,7,3,0,7,"Freedom to live and 
 work across the EU","Bureaucracy and 
 excessive regulation"
0,1,Poland,0,3,8,0.5,0.75,0.5,0.75,0.5,0.5,0.25,0.25,0,0,0.5,1,52,8,2,1,7,The EU single market,"Bureaucracy and 
 excessive regulation"
0,1,Poland,0,4,8,1,0.5,0.75,0.75,0.25,0.75,0.75,0.75,0.75,0.5,0.5,0,33,4,2,0,2,"Freedom to live and 
 work across the EU","Bureaucracy and 
 excessive regulation"
0,1,Poland,0,1,3,1,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.5,1,46,7,3,0,4,"Peace on the 
 European continent",Mass immigration
0,0,United Kingdom,,4,7,0,0,0,0.25,0.5,0.25,0.75,0.5,0.5,0.25,0.5,0,35,6,3,0,5,"Freedom to live and 
 work across the EU",Removing borders between states
0,1,Poland,0,5,8,0,0.25,0.5,0.75,0.25,0.5,0.5,0.25,0,0,0.5,1,44,6,3,0,5,"Removing borders 
 between states","Bureaucracy and 
 excessive regulation"
0,1,Poland,0,5,6,1,0.75,0.25,0.5,0,0.25,0.25,0,0.25,0,0.5,0,45,4,2,0,5,"Removing borders 
 between states",The refugee crisis
0,1,Poland,0,14,2,0,0,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0,50,8,1,0,9,,Loss of national sovereignty
0,1,Poland,0,4,7,0,0,0.75,0.75,0.25,1,0.75,1,0.25,0.75,0.25,0,23,4,2,0,5,"Freedom to live and 
 work across the EU",Removing borders between states
